Company,Ticker
"H&R Block, Inc.",NYSE: HRB
"Cisco Systems, Inc.",NASDAQ: CSCO
Comerica Incorporated,NYSE: CMA
CSX Corporation,NASDAQ: CSX
Genuine Parts Company,NYSE: GPC
Chubb Limited,NYSE: CB
"Nasdaq, Inc.",NASDAQ: NDAQ
Stryker Corporation,NYSE: SYK
Seagate Technology plc,NASDAQ: STX
CVS Health Corporation,NYSE: CVS
"CF Industries Holdings, Inc.",NYSE: CF
Ameren Corporation,NYSE: AEE
"YUM! Brands, Inc.",NYSE: YUM
"Franklin Resources, Inc.",NYSE: BEN
"Lamb Weston Holdings, Inc.",NYSE: LW
"Cardinal Health, Inc.",NYSE: CAH
DaVita Inc.,NYSE: DVA
"IDEXX Laboratories, Inc.",NASDAQ: IDXX
"Everest Re Group, Ltd.",NYSE: RE
Packaging Corporation of America,NYSE: PKG
"Facebook, Inc.",NASDAQ: FB
Jacobs Engineering Group Inc.,NYSE: JEC
"The Williams Companies, Inc.",NYSE: WMB
"Paychex, Inc.",NASDAQ: PAYX
Mettler-Toledo International Inc.,NYSE: MTD
Lennar Corporation,NYSE: LEN
CMS Energy Corporation,NYSE: CMS
McDonald's Corporation,NYSE: MCD
Adobe Inc.,NASDAQ: ADBE
A. O. Smith Corporation,NYSE: AOS
HP Inc.,NYSE: HPQ
Northrop Grumman Corporation,NYSE: NOC
"Arista Networks, Inc.",NYSE: ANET
"Ulta Beauty, Inc.",NASDAQ: ULTA
Costco Wholesale Corporation,NASDAQ: COST
Berkshire Hathaway Inc.,NYSE: BRK-A
"Rockwell Automation, Inc.",NYSE: ROK
"The Goldman Sachs Group, Inc.",NYSE: GS
Illinois Tool Works Inc.,NYSE: ITW
Caterpillar Inc.,NYSE: CAT
SVB Financial Group,NASDAQ: SIVB
Vulcan Materials Company,NYSE: VMC
"Alaska Air Group, Inc.",NYSE: ALK
"Helmerich & Payne, Inc.",NYSE: HP
"Citrix Systems, Inc.",NASDAQ: CTXS
"Cboe Global Markets, Inc.",BATS: CBOE
Apple Inc.,NASDAQ: AAPL
Weyerhaeuser Company,NYSE: WY
3M Company,NYSE: MMM
Federal Express Corporation (US),NYSE: FDX
"The Cooper Companies, Inc.",NYSE: COO
"ONEOK, Inc.",NYSE: OKE
CME Group Inc.,NASDAQ: CME
"Anthem, Inc.",NYSE: ANTM
General Dynamics Corporation,NYSE: GD
Campbell Soup Company,NYSE: CPB
"The PNC Financial Services Group, Inc.",NYSE: PNC
Xylem Inc.,NYSE: XYL
Quest Diagnostics Incorporated,NYSE: DGX
"Raymond James Financial, Inc.",NYSE: RJF
Union Pacific Corporation,NYSE: UNP
"ANSYS, Inc.",NASDAQ: ANSS
Texas Instruments Incorporated,NASDAQ: TXN
"Assurant, Inc.",NYSE: AIZ
Norwegian Cruise Line Holdings Ltd.,NYSE: NCLH
Linde plc,NYSE: LIN
Humana Inc.,NYSE: HUM
"Analog Devices, Inc.",NASDAQ: ADI
Concho Resources Inc.,NYSE: CXO
Apache Corporation,NYSE: APA
Fastenal Company,NASDAQ: FAST
"Citizens Financial Group, Inc.",NYSE: CFG
AbbVie Inc.,NYSE: ABBV
Robert Half International Inc.,NYSE: RHI
Hormel Foods Corporation,NYSE: HRL
Moody's Corporation,NYSE: MCO
"Advance Auto Parts, Inc.",NYSE: AAP
"Maxim Integrated Products, Inc.",NASDAQ: MXIM
Amgen Inc.,NASDAQ: AMGN
"D.R. Horton, Inc.",NYSE: DHI
Mastercard Incorporated,NYSE: MA
Ralph Lauren Corporation,NYSE: RL
Synchrony Financial,NYSE: SYF
"Constellation Brands, Inc.",NYSE: STZ
Phillips 66,NYSE: PSX
"Alexandria Real Estate Equities, Inc.",NYSE: ARE
"Automatic Data Processing, Inc.",NASDAQ: ADP
"Martin Marietta Materials, Inc.",NYSE: MLM
Microsoft Corporation,NASDAQ: MSFT
Nucor Corporation,NYSE: NUE
Mylan N.V.,NASDAQ: MYL
The Allstate Corporation,NYSE: ALL
Philip Morris International Inc.,NYSE: PM
Flowserve Corporation,NYSE: FLS
"Under Armour, Inc.",NYSE: UAA
Equity Residential,NYSE: EQR
"United Continental Holdings, Inc.",NASDAQ: UAL
"Advanced Micro Devices, Inc.",NASDAQ: AMD
Waters Corporation,NYSE: WAT
DTE Electric Company,NYSE: DTE
WestRock Company,NYSE: WRK
Regions Financial Corporation,NYSE: RF
V.F. Corporation,NYSE: VFC
"Charter Communications, Inc.",NASDAQ: CHTR
The AES Corporation,NYSE: AES
HollyFrontier Corporation,NYSE: HFC
"Twitter, Inc.",NYSE: TWTR
"FleetCor Technologies, Inc.",NYSE: FLT
Pentair plc,NYSE: PNR
Avery Dennison Corporation,NYSE: AVY
Harris Corporation,NYSE: LHX
"NIKE, Inc.",NYSE: NKE
"Activision Blizzard, Inc.",NASDAQ: ATVI
"Affiliated Managers Group, Inc.",NYSE: AMG
"Qorvo, Inc.",NASDAQ: QRVO
SBA Communications Corporation,NASDAQ: SBAC
"Church & Dwight Co., Inc.",NYSE: CHD
Cintas Corporation,NASDAQ: CTAS
Biogen Inc.,NASDAQ: BIIB
Danaher Corporation,NYSE: DHR
Alphabet Inc.,NASDAQ: GOOGL
"Altria Group, Inc.",NYSE: MO
FirstEnergy Corp.,NYSE: FE
"CarMax, Inc.",NYSE: KMX
"The Home Depot, Inc.",NYSE: HD
Aon plc,NYSE: AON
Torchmark Corporation,NYSE: TMK
"Lowe's Companies, Inc.",NYSE: LOW
Connecticut General Corporation,-
Cigna Corporation,NYSE: CI
"American Water Works Company, Inc.",NYSE: AWK
"Gilead Sciences, Inc.",NASDAQ: GILD
"Tyson Foods, Inc.",NYSE: TSN
"NetApp, Inc.",NASDAQ: NTAP
"Alpha Industries, Inc.",NASDAQ: SWKS
The Coca-Cola Company,NYSE: KO
Newell Brands Inc.,NASDAQ: NWL
"Abiomed, Inc.",NASDAQ: ABMD
Anadarko Petroleum Corporation,NYSE: APC
"J.B. Hunt Transport Services, Inc.",NASDAQ: JBHT
Lockheed Martin Corporation,NYSE: LMT
Garmin Ltd.,NASDAQ: GRMN
Cabot Oil & Gas Corporation,NYSE: COG
"United Rentals, Inc.",NYSE: URI
PPL Electric Utilities Corporation,NYSE: PPL
"Air Products and Chemicals, Inc.",NYSE: APD
Fortive Corporation,NYSE: FTV
Ecolab Inc.,NYSE: ECL
"WEC Energy Group, Inc.",NYSE: WEC
"Host Hotels & Resorts, Inc.",NYSE: HST
SunTrust Bank Holding Company,NYSE: STI
"AutoZone, Inc.",NYSE: AZO
Allegion plc,NYSE: ALLE
"American International Group, Inc.",NYSE: AIG
Archer-Daniels-Midland Company,NYSE: ADM
