Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,32650.0,30950.0,32500.0,31500.0,71933.0,28726.4609375
2009-01-05,31550.0,30000.0,31500.0,30150.0,76047.0,27495.328125
2009-01-06,30700.0,30100.0,30150.0,30550.0,94023.0,27860.107421875
2009-01-07,31250.0,30400.0,30500.0,31200.0,68215.0,28452.875
2009-01-08,31400.0,30100.0,31000.0,30100.0,65464.0,27449.728515625
2009-01-09,31500.0,30500.0,31150.0,31250.0,54940.0,28498.470703125
2009-01-12,31250.0,30400.0,31250.0,30900.0,51582.0,28179.2890625
2009-01-13,30500.0,29700.0,30250.0,30000.0,49499.0,27358.533203125
2009-01-14,30000.0,29300.0,30000.0,29450.0,38916.0,26856.958984375
2009-01-15,29100.0,27500.0,29050.0,27500.0,59551.0,25078.654296875
2009-01-16,28300.0,26400.0,27500.0,28300.0,54736.0,25808.216796875
2009-01-19,29350.0,28050.0,28050.0,29000.0,35304.0,26446.580078125
2009-01-20,28900.0,27850.0,28350.0,28750.0,31030.0,26218.595703125
2009-01-21,31450.0,27200.0,28300.0,30300.0,60493.0,27632.115234375
2009-01-22,31000.0,30200.0,30600.0,30800.0,43889.0,28088.09375
2009-01-23,31600.0,30000.0,30500.0,31500.0,39300.0,28726.4609375
2009-01-28,33000.0,31500.0,31500.0,32800.0,45153.0,29911.994140625
2009-01-29,33400.0,32200.0,32350.0,32200.0,34539.0,29364.822265625
2009-01-30,32550.0,31300.0,32000.0,31900.0,35110.0,29091.23828125
2009-02-02,32150.0,30550.0,31250.0,32150.0,40476.0,29319.2265625
2009-02-03,32150.0,30450.0,32150.0,30500.0,59980.0,27814.509765625
2009-02-04,31000.0,30300.0,30800.0,30800.0,33295.0,28088.09375
2009-02-05,30750.0,29950.0,30550.0,30650.0,46301.0,27951.30078125
2009-02-06,31500.0,30350.0,30400.0,30750.0,40811.0,28042.49609375
2009-02-09,31400.0,30700.0,30800.0,31250.0,24060.0,28498.470703125
2009-02-10,32000.0,30900.0,30950.0,31000.0,26825.0,28270.484375
2009-02-11,31000.0,30250.0,30700.0,31000.0,20532.0,28270.484375
2009-02-12,30350.0,29350.0,30350.0,30200.0,42092.0,27540.921875
2009-02-13,30750.0,29400.0,30150.0,30250.0,22931.0,27586.521484375
2009-02-16,30500.0,29850.0,30050.0,30200.0,13994.0,27540.921875
2009-02-17,29700.0,28350.0,29650.0,29050.0,30951.0,26492.181640625
2009-02-18,28900.0,27250.0,28900.0,28000.0,44754.0,25534.6328125
2009-02-19,27950.0,27000.0,27700.0,27050.0,43493.0,24668.275390625
2009-02-20,27350.0,26500.0,26800.0,27300.0,33755.0,24896.265625
2009-02-23,27500.0,26300.0,26550.0,26700.0,47526.0,24349.09375
2009-02-24,27000.0,25300.0,26150.0,27000.0,104359.0,24622.6796875
2009-02-25,27900.0,26600.0,27100.0,27300.0,33837.0,24896.265625
2009-02-26,29200.0,27500.0,28500.0,28400.0,74050.0,25899.41015625
2009-02-27,28850.0,27400.0,28700.0,27800.0,47579.0,25352.240234375
2009-03-02,28200.0,26600.0,27100.0,27800.0,30266.0,25352.240234375
2009-03-03,28100.0,26750.0,27500.0,27150.0,34640.0,24759.470703125
2009-03-04,27650.0,26500.0,26800.0,27650.0,24006.0,25215.44921875
2009-03-05,27700.0,26850.0,27400.0,27700.0,42484.0,25261.046875
2009-03-06,27900.0,26700.0,27200.0,27400.0,22998.0,24987.4609375
2009-03-09,27900.0,26600.0,27700.0,27100.0,36082.0,24713.873046875
2009-03-10,27600.0,26600.0,26600.0,27550.0,16770.0,25124.251953125
2009-03-11,29500.0,27550.0,27650.0,29500.0,47410.0,26902.55859375
2009-03-12,30000.0,28650.0,28750.0,30000.0,98240.0,27358.533203125
2009-03-13,30000.0,28700.0,30000.0,29450.0,64810.0,26856.958984375
2009-03-16,29800.0,28600.0,29450.0,28600.0,37725.0,26081.802734375
2009-03-17,29150.0,28600.0,28600.0,28750.0,45621.0,26218.595703125
2009-03-18,29500.0,28550.0,29150.0,28950.0,59903.0,26400.982421875
2009-03-19,29400.0,28000.0,29100.0,28250.0,48338.0,25762.619140625
2009-03-20,28950.0,28100.0,28100.0,28700.0,42456.0,26172.998046875
2009-03-23,29300.0,28850.0,28850.0,29200.0,2311.0,26628.97265625
2009-03-24,30400.0,29300.0,29750.0,30400.0,40750.0,27723.3125
2009-03-25,30700.0,30050.0,30200.0,30300.0,21061.0,27632.115234375
2009-03-26,30900.0,29450.0,30000.0,30900.0,43151.0,28179.2890625
2009-03-27,30900.0,30150.0,30850.0,30550.0,38799.0,27860.107421875
2009-03-30,30750.0,29400.0,30550.0,29500.0,31022.0,26902.55859375
2009-03-31,29850.0,29150.0,29650.0,29450.0,23898.0,26856.958984375
2009-04-01,29800.0,29000.0,29450.0,29400.0,37624.0,26811.36328125
2009-04-02,31000.0,29500.0,29550.0,31000.0,74748.0,28270.484375
2009-04-03,31850.0,30300.0,31050.0,31800.0,69477.0,29000.04296875
2009-04-06,34750.0,32150.0,32150.0,33900.0,101684.0,30915.146484375
2009-04-07,34400.0,32800.0,33700.0,33700.0,45461.0,30732.75
2009-04-08,33650.0,32400.0,33650.0,33650.0,33580.0,30687.154296875
2009-04-09,34400.0,33250.0,33700.0,33450.0,60623.0,30504.765625
2009-04-10,34000.0,32600.0,33700.0,33300.0,60555.0,30367.970703125
2009-04-13,34000.0,32700.0,33500.0,32900.0,37572.0,30003.19140625
2009-04-14,33550.0,32300.0,32900.0,32950.0,53074.0,30048.7890625
2009-04-15,34450.0,32500.0,33050.0,33800.0,94603.0,30823.9453125
2009-04-16,34850.0,32650.0,34300.0,33000.0,85579.0,30094.388671875
2009-04-17,33150.0,30550.0,33000.0,30750.0,86510.0,28042.49609375
2009-04-20,31150.0,30250.0,30650.0,30600.0,35822.0,27905.705078125
2009-04-21,30450.0,29550.0,30350.0,30000.0,36579.0,27358.533203125
2009-04-22,30300.0,29400.0,30100.0,29900.0,71228.0,27267.337890625
2009-04-23,30700.0,30050.0,30200.0,30700.0,47100.0,27996.8984375
2009-04-24,31200.0,30350.0,31000.0,30900.0,41128.0,28179.2890625
2009-04-27,31350.0,30300.0,30900.0,31250.0,55270.0,28498.470703125
2009-04-28,31800.0,30800.0,30850.0,31200.0,58200.0,28452.875
2009-04-29,31600.0,30950.0,31250.0,31500.0,35691.0,28726.4609375
2009-04-30,33000.0,31400.0,31500.0,33000.0,53117.0,30094.388671875
2009-05-04,33500.0,32600.0,32700.0,32800.0,30312.0,29911.994140625
2009-05-06,33300.0,32300.0,32600.0,32700.0,46725.0,29820.80078125
2009-05-07,33150.0,32550.0,32700.0,32600.0,39757.0,29729.607421875
2009-05-08,33500.0,32450.0,32450.0,33200.0,32625.0,30276.775390625
2009-05-11,34050.0,33200.0,33550.0,34000.0,66814.0,31006.341796875
2009-05-12,35250.0,33900.0,34200.0,34300.0,109010.0,31279.923828125
2009-05-13,39400.0,34150.0,34300.0,38500.0,202362.0,35110.11328125
2009-05-14,41600.0,37450.0,38000.0,39600.0,235827.0,36113.265625
2009-05-15,43200.0,38600.0,40000.0,42000.0,128323.0,38301.94921875
2009-05-18,43700.0,40300.0,41100.0,42500.0,82212.0,38757.921875
2009-05-19,43700.0,41700.0,42200.0,43200.0,314062.0,39396.2890625
