Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,5800.0,5610.0,5780.0,5700.0,103565.0,5206.88720703125
2009-01-05,5830.0,5580.0,5750.0,5690.0,131030.0,5197.751953125
2009-01-06,5850.0,5650.0,5730.0,5700.0,150564.0,5206.88720703125
2009-01-07,5930.0,5650.0,5700.0,5840.0,173610.0,5334.7744140625
2009-01-08,5840.0,5650.0,5840.0,5800.0,196210.0,5298.236328125
2009-01-09,5880.0,5710.0,5780.0,5720.0,123650.0,5225.15673828125
2009-01-12,5840.0,5590.0,5700.0,5700.0,147453.0,5206.88720703125
2009-01-13,5700.0,5490.0,5650.0,5550.0,162420.0,5069.86328125
2009-01-14,5630.0,5500.0,5560.0,5570.0,131009.0,5088.1337890625
2009-01-15,5460.0,5110.0,5430.0,5120.0,188922.0,4677.0634765625
2009-01-16,5250.0,5110.0,5140.0,5180.0,108131.0,4731.87255859375
2009-01-19,5350.0,5180.0,5220.0,5250.0,80683.0,4795.81640625
2009-01-20,5270.0,4920.0,5260.0,4960.0,174871.0,4530.90576171875
2009-01-21,4890.0,4720.0,4890.0,4725.0,131370.0,4316.23583984375
2009-01-22,4985.0,4755.0,4775.0,4980.0,154700.0,4549.1748046875
2009-01-23,4960.0,4700.0,4900.0,4720.0,139271.0,4311.66796875
2009-01-28,4915.0,4790.0,4805.0,4850.0,136302.0,4430.4208984375
2009-01-29,4980.0,4880.0,4900.0,4980.0,119075.0,4549.1748046875
2009-01-30,5140.0,4870.0,4900.0,5060.0,215912.0,4622.25439453125
2009-02-02,5050.0,4880.0,5000.0,4945.0,107473.0,4517.203125
2009-02-03,5000.0,4850.0,4900.0,4995.0,175361.0,4562.87744140625
2009-02-04,5440.0,4980.0,5010.0,5440.0,335032.0,4969.37939453125
2009-02-05,5480.0,5130.0,5330.0,5130.0,179201.0,4686.1982421875
2009-02-06,5300.0,5130.0,5190.0,5160.0,187975.0,4713.6025390625
2009-02-09,5550.0,5260.0,5300.0,5540.0,277800.0,5060.7294921875
