Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,59200.0,52300.0,53000.0,56000.0,239624.0,51048.05859375
2009-01-05,60300.0,55800.0,56500.0,60300.0,304741.0,54967.8203125
2009-01-06,62600.0,58300.0,60200.0,61100.0,188708.0,55697.078125
2009-01-07,61400.0,58100.0,59200.0,60000.0,288477.0,54694.3515625
2009-01-08,59600.0,56800.0,59500.0,58500.0,170585.0,53326.9921875
2009-01-09,59500.0,56000.0,58500.0,57300.0,144650.0,52233.1015625
2009-01-12,57400.0,55700.0,56900.0,56900.0,93989.0,51868.47265625
2009-01-13,59200.0,55000.0,56500.0,56800.0,191108.0,51777.31640625
2009-01-14,60400.0,55700.0,57000.0,60000.0,182671.0,54694.3515625
2009-01-15,61100.0,58200.0,58700.0,59100.0,283305.0,53873.93359375
2009-01-16,61800.0,59000.0,60000.0,59400.0,250360.0,54147.41015625
2009-01-19,63200.0,60000.0,61200.0,60400.0,94316.0,55058.98046875
2009-01-20,62300.0,58500.0,59500.0,60700.0,147169.0,55332.4453125
2009-01-21,63600.0,58700.0,59800.0,61200.0,149096.0,55788.23828125
2009-01-22,63100.0,58900.0,63000.0,60600.0,215676.0,55241.2890625
2009-01-23,61200.0,58700.0,59200.0,59700.0,100469.0,54420.87890625
2009-01-28,61600.0,58400.0,61600.0,60000.0,170673.0,54694.3515625
2009-01-29,62200.0,58600.0,60400.0,59900.0,162782.0,54603.19140625
2009-01-30,59400.0,58300.0,59300.0,59000.0,163395.0,53782.7734375
2009-02-02,58600.0,56000.0,58000.0,57000.0,165593.0,51959.62890625
2009-02-03,56700.0,54300.0,56700.0,54300.0,449674.0,49498.390625
2009-02-04,56100.0,54600.0,55300.0,55100.0,322212.0,50227.6484375
2009-02-05,56700.0,54500.0,54700.0,55200.0,264656.0,50318.796875
2009-02-06,59000.0,55800.0,56100.0,59000.0,318446.0,53782.7734375
2009-02-09,59700.0,56600.0,58800.0,57800.0,260298.0,52688.88671875
2009-02-10,58500.0,56100.0,58500.0,56200.0,156558.0,51230.37109375
2009-02-11,57400.0,54100.0,54100.0,56700.0,129699.0,51686.16015625
2009-02-12,58200.0,55800.0,57300.0,58200.0,189742.0,53053.51953125
2009-02-13,58800.0,57100.0,57500.0,58300.0,90525.0,53144.67578125
2009-02-16,57700.0,55800.0,57700.0,56800.0,155998.0,51777.31640625
2009-02-17,56500.0,52100.0,55800.0,52500.0,170445.0,47857.55859375
2009-02-18,52000.0,50000.0,51900.0,51200.0,214026.0,46672.51171875
2009-02-19,54200.0,48200.0,50600.0,48500.0,324826.0,44211.265625
2009-02-20,47950.0,46300.0,47950.0,47100.0,180472.0,42935.0625
2009-02-23,48400.0,45200.0,46100.0,47500.0,201635.0,43299.6953125
2009-02-24,48850.0,45100.0,45500.0,48600.0,237261.0,44302.42578125
2009-02-25,50500.0,48600.0,50300.0,48900.0,173973.0,44575.89453125
2009-02-26,50300.0,46000.0,49800.0,47000.0,120982.0,42843.91015625
2009-02-27,47950.0,45900.0,46500.0,47000.0,99415.0,42843.91015625
2009-03-02,47000.0,43100.0,47000.0,44400.0,176842.0,40473.8203125
2009-03-03,43500.0,41500.0,43000.0,42800.0,162370.0,39015.296875
2009-03-04,45000.0,42300.0,42900.0,44300.0,194061.0,40382.66015625
2009-03-05,47100.0,44700.0,45000.0,46300.0,321802.0,42205.8046875
2009-03-06,47950.0,44600.0,44950.0,46550.0,229578.0,42433.703125
2009-03-09,48500.0,47000.0,47100.0,47650.0,180949.0,43436.421875
2009-03-10,51600.0,47200.0,47200.0,50100.0,156820.0,45669.78125
2009-03-11,54600.0,51100.0,51500.0,53000.0,157752.0,48313.34765625
2009-03-12,53900.0,51600.0,53900.0,52800.0,210207.0,48131.03125
2009-03-13,55000.0,51800.0,52800.0,53300.0,219462.0,48586.81640625
2009-03-16,56600.0,52900.0,54900.0,55100.0,208228.0,50227.6484375
2009-03-17,56800.0,54500.0,56500.0,55000.0,211745.0,50136.48828125
2009-03-18,57100.0,54400.0,57100.0,55400.0,90748.0,50501.1171875
2009-03-19,57500.0,55300.0,55300.0,57200.0,306769.0,52141.9453125
2009-03-20,57900.0,56300.0,57200.0,57500.0,109031.0,52415.4140625
2009-03-23,58400.0,57900.0,58300.0,58400.0,14601.0,53235.828125
2009-03-24,60000.0,58100.0,59600.0,59700.0,191477.0,54420.87890625
2009-03-25,60100.0,58100.0,59100.0,59400.0,183751.0,54147.41015625
2009-03-26,62500.0,59300.0,59400.0,61200.0,326845.0,55788.23828125
2009-03-27,62000.0,57900.0,60600.0,59600.0,241512.0,54329.71875
2009-03-30,60200.0,57800.0,58900.0,59000.0,158622.0,53782.7734375
2009-03-31,61100.0,58500.0,59600.0,59300.0,311717.0,54056.24609375
2009-04-01,67300.0,58500.0,59400.0,64300.0,654338.0,58614.109375
2009-04-02,70800.0,65300.0,66000.0,67500.0,524002.0,61531.140625
2009-04-03,69400.0,66100.0,68100.0,68300.0,185449.0,62260.3984375
2009-04-06,69800.0,67500.0,67700.0,69000.0,233598.0,62898.5078125
2009-04-07,71200.0,67200.0,68800.0,69300.0,324606.0,63171.96875
2009-04-08,72500.0,68000.0,68000.0,72300.0,304384.0,65906.6875
2009-04-09,78900.0,73200.0,74000.0,78900.0,325814.0,71923.078125
2009-04-10,81000.0,75000.0,81000.0,75100.0,272040.0,68459.0859375
2009-04-13,75500.0,71500.0,75000.0,72600.0,286564.0,66180.1640625
2009-04-14,74000.0,70900.0,71300.0,72500.0,365512.0,66089.0078125
2009-04-15,72300.0,68200.0,71800.0,69600.0,350816.0,63445.45703125
2009-04-16,73800.0,68800.0,70700.0,71100.0,296550.0,64812.80859375
