Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,65100.0,62400.0,64600.0,63800.0,148020.0,44908.578125
2009-01-05,63500.0,60800.0,63500.0,61800.0,257500.0,43500.78515625
2009-01-06,62800.0,61000.0,61900.0,62300.0,180280.0,43852.734375
2009-01-07,63200.0,60800.0,63200.0,61800.0,386480.0,43500.78515625
2009-01-08,62000.0,61000.0,61900.0,61300.0,194190.0,43148.84375
2009-01-09,62000.0,59600.0,61100.0,59900.0,157100.0,42163.38671875
2009-01-12,61300.0,59600.0,60500.0,59900.0,116640.0,42163.38671875
2009-01-13,60800.0,58900.0,60800.0,60100.0,175770.0,42304.16015625
2009-01-14,61600.0,59200.0,60400.0,60700.0,173090.0,42726.49609375
2009-01-15,60700.0,59100.0,59400.0,59700.0,183530.0,42022.59765625
2009-01-16,60900.0,59500.0,59500.0,60900.0,147920.0,42867.27734375
2009-01-19,61100.0,59600.0,60400.0,59600.0,124860.0,41952.21484375
2009-01-20,59700.0,58200.0,59300.0,58500.0,117220.0,41177.92578125
2009-01-21,59500.0,57100.0,57900.0,58100.0,90910.0,40896.3671875
2009-01-22,59900.0,58100.0,58300.0,58500.0,131420.0,41177.92578125
2009-01-23,59900.0,58500.0,58800.0,59900.0,99540.0,42163.38671875
2009-01-28,62700.0,60100.0,60500.0,62600.0,177320.0,44063.8984375
2009-01-29,63100.0,61600.0,61700.0,62900.0,121690.0,44275.06640625
2009-01-30,62900.0,61700.0,62900.0,61700.0,85240.0,43430.390625
2009-02-02,61900.0,60100.0,61800.0,60400.0,117200.0,42515.33203125
2009-02-03,61500.0,59800.0,60300.0,61100.0,164480.0,43008.05859375
2009-02-04,61600.0,58800.0,61400.0,59100.0,305590.0,41600.265625
2009-02-05,59200.0,58100.0,59100.0,58600.0,148200.0,41248.3125
2009-02-06,60200.0,58200.0,58400.0,59300.0,224830.0,41741.04296875
2009-02-09,59800.0,57700.0,59100.0,58200.0,236130.0,40966.76171875
2009-02-10,59100.0,57300.0,58600.0,57300.0,214460.0,40333.25
2009-02-11,56800.0,55700.0,56500.0,55800.0,274550.0,39277.40625
2009-02-12,58400.0,55000.0,55900.0,58100.0,432170.0,40896.3671875
2009-02-13,59000.0,57100.0,57900.0,58000.0,200730.0,40825.9765625
2009-02-16,58000.0,55500.0,57500.0,57000.0,281470.0,40122.0859375
2009-02-17,56600.0,54500.0,55800.0,55100.0,377600.0,38784.67578125
2009-02-18,54700.0,53500.0,54700.0,54000.0,304000.0,38010.390625
2009-02-19,54900.0,52500.0,53600.0,54700.0,339770.0,38503.1171875
2009-02-20,54800.0,53200.0,54500.0,53800.0,147910.0,37869.6171875
2009-02-23,57800.0,52700.0,53200.0,55900.0,223050.0,39347.796875
2009-02-24,56300.0,54000.0,54700.0,55700.0,169790.0,39207.01953125
2009-02-25,57100.0,54500.0,56200.0,56800.0,187250.0,39981.30859375
2009-02-26,58300.0,54500.0,56800.0,56200.0,214040.0,39558.96484375
2009-02-27,56900.0,54900.0,56900.0,54900.0,113750.0,38643.8984375
2009-03-02,54300.0,52400.0,54300.0,54100.0,160200.0,38080.78515625
2009-03-03,55000.0,52700.0,53800.0,53400.0,107580.0,37588.05859375
2009-03-04,55000.0,52800.0,53600.0,54500.0,136850.0,38362.33984375
2009-03-05,57000.0,54100.0,54600.0,56500.0,274600.0,39770.13671875
2009-03-06,58000.0,56100.0,56500.0,57900.0,149460.0,40755.58984375
2009-03-09,58600.0,56800.0,58000.0,58200.0,116150.0,40966.76171875
2009-03-10,59100.0,57500.0,58200.0,59100.0,152670.0,41600.265625
2009-03-11,59800.0,57900.0,58700.0,59400.0,181810.0,41811.43359375
2009-03-12,60400.0,58000.0,59900.0,60000.0,258740.0,42233.76953125
2009-03-13,60100.0,58700.0,59500.0,60000.0,111180.0,42233.76953125
2009-03-16,60300.0,58000.0,59000.0,59600.0,140790.0,41952.21484375
2009-03-17,60100.0,58400.0,59900.0,59000.0,130250.0,41529.875
2009-03-18,59500.0,57300.0,59400.0,57300.0,201900.0,40333.25
2009-03-19,58200.0,57400.0,57500.0,58000.0,111040.0,40825.9765625
2009-03-20,59100.0,58200.0,58900.0,58700.0,100480.0,41318.703125
2009-03-23,59500.0,58800.0,58800.0,59300.0,10020.0,41741.04296875
2009-03-24,58400.0,56700.0,58400.0,58000.0,305770.0,40825.9765625
2009-03-25,58400.0,57600.0,58000.0,58000.0,176110.0,40825.9765625
2009-03-26,59100.0,57600.0,58000.0,59100.0,304880.0,41600.265625
2009-03-27,60400.0,58100.0,58800.0,60100.0,317730.0,42304.16015625
2009-03-30,60900.0,58700.0,60500.0,58900.0,99740.0,41459.484375
2009-03-31,62000.0,58700.0,59700.0,61000.0,250080.0,42937.67578125
2009-04-01,63000.0,60600.0,61200.0,62900.0,314580.0,44275.06640625
2009-04-02,63900.0,61100.0,63900.0,62000.0,233980.0,43641.56640625
2009-04-03,61900.0,59600.0,61300.0,59900.0,228170.0,42163.38671875
2009-04-06,61300.0,59800.0,59800.0,60500.0,149150.0,42585.72265625
2009-04-07,60900.0,59900.0,60700.0,60500.0,87380.0,42585.72265625
2009-04-08,61100.0,59500.0,60500.0,60400.0,110030.0,42515.33203125
2009-04-09,60100.0,59100.0,59900.0,59600.0,199460.0,41952.21484375
2009-04-10,60700.0,59000.0,59900.0,59500.0,181520.0,41881.82421875
2009-04-13,60400.0,59200.0,59700.0,59300.0,117170.0,41741.04296875
2009-04-14,59600.0,58500.0,59300.0,59300.0,202620.0,41741.04296875
2009-04-15,60800.0,58600.0,59000.0,60800.0,226160.0,42796.88671875
2009-04-16,62000.0,60100.0,60800.0,61600.0,175190.0,43360.01171875
2009-04-17,61500.0,59300.0,61000.0,60000.0,177750.0,42233.76953125
2009-04-20,60700.0,58600.0,59600.0,60300.0,93340.0,42444.94140625
2009-04-21,61000.0,59100.0,59600.0,59700.0,118490.0,42022.59765625
2009-04-22,63500.0,59200.0,59600.0,63400.0,270570.0,44627.015625
2009-04-23,68000.0,62600.0,63900.0,68000.0,298630.0,47864.94921875
2009-04-24,68100.0,64900.0,66600.0,68000.0,126340.0,47864.94921875
2009-04-27,69900.0,65500.0,67000.0,66500.0,124770.0,46809.09765625
2009-04-28,68500.0,64100.0,67800.0,65100.0,150500.0,45823.64453125
2009-04-29,67900.0,64400.0,64600.0,67200.0,97590.0,47301.81640625
2009-04-30,69800.0,66500.0,66900.0,68400.0,240540.0,48146.5
2009-05-04,69100.0,64000.0,67400.0,66100.0,640180.0,46527.53515625
2009-05-06,65000.0,62000.0,64900.0,63100.0,761560.0,44415.83984375
2009-05-07,64300.0,62600.0,63200.0,63200.0,281150.0,44486.234375
