Date,High,Low,Open,Close,Volume,Adj Close
2011-06-30,22150.0,18950.0,19300.0,22150.0,23653520.0,21259.7421875
2011-07-01,25350.0,22200.0,23150.0,22750.0,15216783.0,21835.626953125
2011-07-04,24250.0,22450.0,23350.0,22850.0,5096592.0,21931.609375
2011-07-05,24850.0,22600.0,23600.0,24550.0,5911592.0,23563.279296875
2011-07-06,25900.0,24850.0,25000.0,25650.0,4704010.0,24619.068359375
2011-07-07,27750.0,24650.0,25400.0,25400.0,4829827.0,24379.1171875
2011-07-08,26500.0,25500.0,25800.0,26100.0,2560537.0,25050.982421875
2011-07-11,29500.0,26150.0,26750.0,28500.0,6048401.0,27354.521484375
2011-07-12,29650.0,28100.0,28400.0,29300.0,4589308.0,28122.3671875
2011-07-13,29350.0,24950.0,29300.0,25250.0,7234646.0,24235.146484375
2011-07-14,26400.0,24400.0,25600.0,25600.0,3872412.0,24571.078125
2011-07-15,29100.0,24600.0,25600.0,28600.0,6930129.0,27450.5
2011-07-18,30200.0,28100.0,29250.0,29250.0,4959986.0,28074.37890625
2011-07-19,31300.0,28800.0,29550.0,29300.0,5314148.0,28122.3671875
2011-07-20,30150.0,27750.0,29900.0,27750.0,4228509.0,26634.66796875
2011-07-21,28700.0,25650.0,28150.0,27050.0,3942095.0,25962.80078125
2011-07-22,27900.0,26400.0,27300.0,27600.0,2304921.0,26490.6953125
2011-07-25,27400.0,25550.0,27300.0,25600.0,2826374.0,24571.078125
2011-07-26,26550.0,25500.0,25650.0,26000.0,1729700.0,24955.001953125
2011-07-27,28200.0,26100.0,26350.0,28000.0,3369687.0,26874.619140625
2011-07-28,28100.0,26800.0,27500.0,27200.0,2394500.0,26106.771484375
2011-07-29,28500.0,27250.0,27600.0,27700.0,2147560.0,26586.67578125
2011-08-01,28900.0,27700.0,28300.0,28650.0,2079491.0,27498.4921875
2011-08-02,29100.0,27700.0,28650.0,28200.0,1640728.0,27066.580078125
2011-08-03,28800.0,26900.0,27400.0,28750.0,1658834.0,27594.474609375
2011-08-04,29300.0,27700.0,28900.0,27700.0,1826649.0,26586.67578125
2011-08-05,26800.0,24900.0,25500.0,26100.0,2067266.0,25050.982421875
2011-08-08,26250.0,22200.0,25700.0,23400.0,3504755.0,22459.501953125
2011-08-09,25150.0,21150.0,22800.0,24800.0,4020227.0,23803.234375
2011-08-10,26600.0,25400.0,26500.0,26100.0,2394250.0,25050.982421875
2011-08-11,28250.0,24850.0,24900.0,28200.0,2878631.0,27066.580078125
2011-08-12,28950.0,27050.0,28750.0,27050.0,2375378.0,25962.80078125
2011-08-16,28450.0,27650.0,28100.0,27800.0,1369607.0,26682.65625
2011-08-17,30350.0,28000.0,28000.0,30150.0,4466178.0,28938.205078125
2011-08-18,31100.0,29650.0,30500.0,30600.0,2976854.0,29370.1171875
2011-08-19,30900.0,28900.0,29500.0,29200.0,3072708.0,28026.38671875
2011-08-22,30200.0,28100.0,30000.0,29000.0,2659945.0,27834.42578125
2011-08-23,29700.0,27400.0,29500.0,28200.0,4200859.0,27066.580078125
2011-08-24,28500.0,27050.0,28200.0,27300.0,2670384.0,26202.75390625
2011-08-25,28000.0,26000.0,27600.0,26200.0,2236559.0,25146.96484375
2011-08-26,28000.0,26200.0,26200.0,27850.0,1880892.0,26730.6484375
2011-08-29,29300.0,27900.0,28250.0,29000.0,2131976.0,27834.42578125
2011-08-30,30000.0,28600.0,29300.0,29400.0,2572791.0,28218.3515625
2011-08-31,29800.0,29150.0,29700.0,29500.0,996913.0,28314.330078125
2011-09-01,29800.0,28450.0,29500.0,28700.0,1911404.0,27546.482421875
2011-09-02,32350.0,28400.0,28700.0,31950.0,5982787.0,30665.861328125
2011-09-05,32550.0,30900.0,31500.0,31550.0,3004361.0,30281.93359375
2011-09-06,32950.0,30100.0,31000.0,32650.0,2802755.0,31337.7265625
2011-09-07,34150.0,32550.0,33400.0,33000.0,3308107.0,31673.66015625
2011-09-08,34800.0,32800.0,33150.0,33400.0,2528215.0,32057.578125
2011-09-09,34000.0,32850.0,33300.0,33450.0,1257119.0,32105.5703125
2011-09-14,33700.0,30950.0,33450.0,30950.0,1621041.0,29706.05078125
2011-09-15,33800.0,31850.0,32100.0,33800.0,2842606.0,32441.50390625
2011-09-16,35550.0,34150.0,34600.0,34350.0,2348298.0,32969.39453125
2011-09-19,34800.0,33500.0,33950.0,33500.0,1080971.0,32153.56640625
2011-09-20,34500.0,33300.0,33300.0,34200.0,1358776.0,32825.4296875
2011-09-21,35150.0,33700.0,34100.0,34000.0,1426985.0,32633.46484375
2011-09-22,34300.0,33250.0,33500.0,34000.0,1096810.0,32633.46484375
2011-09-23,33300.0,32000.0,32250.0,32000.0,1444487.0,30713.849609375
2011-09-26,33000.0,29700.0,32800.0,30150.0,2271987.0,28938.205078125
2011-09-27,33000.0,31100.0,31500.0,32900.0,1399108.0,31577.67578125
2011-09-28,33450.0,32100.0,33100.0,32100.0,1266752.0,30809.828125
2011-09-29,34250.0,32500.0,32700.0,33600.0,1926146.0,32249.54296875
2011-09-30,35700.0,33550.0,33600.0,35450.0,2506705.0,34025.1875
2011-10-04,36500.0,34100.0,34100.0,36500.0,2556471.0,35032.98828125
2011-10-05,38350.0,35800.0,37250.0,35850.0,3666661.0,34409.109375
2011-10-06,36950.0,30550.0,36300.0,31600.0,8501477.0,30329.92578125
2011-10-07,32650.0,30050.0,31550.0,32300.0,4337097.0,31001.79296875
2011-10-10,33100.0,32150.0,32900.0,32250.0,1858425.0,30953.80078125
2011-10-11,34200.0,32400.0,33000.0,33700.0,2900731.0,32345.5234375
2011-10-12,34400.0,33250.0,34000.0,33350.0,1712141.0,32009.58984375
2011-10-13,34200.0,32800.0,33450.0,33500.0,2153391.0,32153.56640625
2011-10-14,33900.0,32550.0,33500.0,33750.0,1403457.0,32393.51171875
2011-10-17,38300.0,34100.0,34100.0,38250.0,4696406.0,36712.6484375
2011-10-18,39600.0,37650.0,37850.0,38350.0,4208641.0,36808.62890625
2011-10-19,40400.0,37900.0,38950.0,39000.0,3099785.0,37432.50390625
2011-10-20,40400.0,36000.0,39000.0,37400.0,2650607.0,35896.81640625
2011-10-21,39900.0,37500.0,38350.0,39900.0,2367584.0,38296.33203125
2011-10-24,41600.0,39400.0,40600.0,39750.0,2777979.0,38152.36328125
2011-10-25,39850.0,37800.0,39750.0,38600.0,2574668.0,37048.58203125
2011-10-26,39400.0,37800.0,38200.0,39200.0,1366400.0,37624.46484375
