Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,2335.0,2265.0,2305.0,2295.0,63450.0,2295.0
2009-01-05,2350.0,2300.0,2300.0,2345.0,134310.0,2345.0
2009-01-06,2475.0,2320.0,2345.0,2445.0,164650.0,2445.0
2009-01-07,2520.0,2415.0,2470.0,2515.0,217690.0,2515.0
2009-01-08,2520.0,2460.0,2480.0,2510.0,130760.0,2510.0
2009-01-09,2745.0,2510.0,2530.0,2600.0,517067.0,2600.0
2009-01-12,2660.0,2550.0,2585.0,2600.0,166310.0,2600.0
2009-01-13,2720.0,2505.0,2600.0,2700.0,305381.0,2700.0
2009-01-14,2800.0,2650.0,2780.0,2730.0,303491.0,2730.0
2009-01-15,2785.0,2460.0,2665.0,2650.0,698927.0,2650.0
2009-01-16,2670.0,2500.0,2670.0,2635.0,221369.0,2635.0
2009-01-19,2730.0,2580.0,2620.0,2635.0,238710.0,2635.0
2009-01-20,2800.0,2500.0,2635.0,2595.0,949810.0,2595.0
2009-01-21,2605.0,2470.0,2475.0,2580.0,393000.0,2580.0
2009-01-22,2660.0,2480.0,2640.0,2480.0,871419.0,2480.0
2009-01-23,2450.0,2345.0,2445.0,2360.0,200814.0,2360.0
2009-01-28,2455.0,2360.0,2400.0,2405.0,158344.0,2405.0
2009-01-29,2490.0,2415.0,2415.0,2420.0,174889.0,2420.0
2009-01-30,2435.0,2370.0,2400.0,2415.0,60731.0,2415.0
2009-02-02,2435.0,2360.0,2395.0,2380.0,106240.0,2380.0
2009-02-03,2485.0,2405.0,2405.0,2445.0,146356.0,2445.0
2009-02-04,2490.0,2435.0,2480.0,2480.0,156121.0,2480.0
2009-02-05,2610.0,2415.0,2455.0,2595.0,477750.0,2595.0
2009-02-06,2730.0,2610.0,2650.0,2690.0,596995.0,2690.0
2009-02-09,2710.0,2595.0,2710.0,2600.0,207282.0,2600.0
2009-02-10,2620.0,2510.0,2575.0,2520.0,177473.0,2520.0
2009-02-11,2895.0,2505.0,2505.0,2895.0,1767717.0,2895.0
