Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,14750.0,14150.0,14300.0,14500.0,663679.0,10563.67578125
2009-01-05,14900.0,13600.0,14800.0,13800.0,1865110.0,10053.7041015625
2009-01-06,14150.0,13050.0,13800.0,13350.0,1944537.0,9725.865234375
2009-01-07,14000.0,13250.0,13600.0,13850.0,1602425.0,10090.1298828125
2009-01-08,14450.0,13600.0,13750.0,13850.0,1788117.0,10090.1298828125
2009-01-09,14500.0,13650.0,14150.0,13650.0,1333959.0,9944.42578125
2009-01-12,13700.0,13100.0,13500.0,13200.0,723188.0,9616.5849609375
2009-01-13,13750.0,13000.0,13200.0,13550.0,667115.0,9871.5732421875
2009-01-14,13950.0,13400.0,13500.0,13950.0,924456.0,10162.984375
2009-01-15,13600.0,12800.0,13350.0,12800.0,694115.0,9325.17578125
2009-01-16,13600.0,13100.0,13250.0,13500.0,726077.0,9835.1455078125
2009-01-19,14100.0,13200.0,13750.0,13550.0,1100540.0,9871.5732421875
2009-01-20,13700.0,13100.0,13550.0,13500.0,596954.0,9835.1455078125
2009-01-21,13300.0,12850.0,12950.0,12900.0,554182.0,9398.02734375
2009-01-22,13300.0,12950.0,13300.0,12950.0,357521.0,9434.4541015625
2009-01-23,12850.0,12300.0,12750.0,12300.0,638649.0,8960.91015625
2009-01-28,12950.0,12600.0,12600.0,12950.0,411394.0,9434.4541015625
2009-01-29,13300.0,12750.0,13250.0,13000.0,503355.0,9470.8818359375
2009-01-30,12950.0,12300.0,12550.0,12300.0,1364407.0,8960.91015625
2009-02-02,12500.0,11800.0,12100.0,11900.0,1551053.0,8669.4990234375
2009-02-03,12250.0,11950.0,12000.0,12050.0,989602.0,8778.7783203125
2009-02-04,12300.0,12000.0,12300.0,12200.0,1602124.0,8888.0556640625
2009-02-05,12250.0,11400.0,12100.0,11500.0,2327862.0,8378.087890625
2009-02-06,11800.0,11400.0,11750.0,11700.0,1209074.0,8523.79296875
2009-02-09,12650.0,11850.0,11900.0,12450.0,2515500.0,9070.189453125
2009-02-10,12750.0,12200.0,12600.0,12450.0,1215410.0,9070.189453125
2009-02-11,12550.0,11950.0,12000.0,12550.0,917473.0,9143.0419921875
2009-02-12,12550.0,11950.0,12500.0,12000.0,791866.0,8742.3515625
2009-02-13,12550.0,12100.0,12150.0,12450.0,842769.0,9070.189453125
2009-02-16,12750.0,11950.0,12350.0,11950.0,1041808.0,8705.92578125
2009-02-17,11900.0,11100.0,11900.0,11100.0,1001628.0,8086.67578125
2009-02-18,11200.0,10600.0,10900.0,11100.0,743605.0,8086.67578125
2009-02-19,11300.0,10850.0,11200.0,11000.0,437925.0,8013.8232421875
2009-02-20,10950.0,10050.0,10900.0,10100.0,896114.0,7358.1455078125
2009-02-23,10600.0,9900.0,10100.0,10550.0,878131.0,7685.98486328125
2009-02-24,10200.0,9980.0,10100.0,10150.0,511337.0,7394.57275390625
2009-02-25,10550.0,9960.0,10500.0,10000.0,559101.0,7285.29345703125
2009-02-26,10800.0,10050.0,10050.0,10450.0,994687.0,7613.1318359375
2009-02-27,11250.0,10650.0,11000.0,10650.0,1182062.0,7758.8369140625
2009-03-02,10950.0,10400.0,10500.0,10500.0,729765.0,7649.55712890625
2009-03-03,11150.0,10100.0,10100.0,11000.0,692502.0,8013.8232421875
2009-03-04,11400.0,10750.0,11000.0,11050.0,953119.0,8050.24853515625
2009-03-05,11150.0,10650.0,11100.0,10650.0,789069.0,7758.8369140625
2009-03-06,10900.0,10300.0,10300.0,10700.0,333426.0,7795.2626953125
2009-03-09,10900.0,10550.0,10800.0,10700.0,423734.0,7795.2626953125
