Date,High,Low,Open,Close,Volume,Adj Close
2008-12-31,97542.0,90000,90700,96600,213200,96600
2009-01-02,99990.0,95200,95200,99990,104900,99990
2009-01-05,102600.0,98550,100200,102600,87800,102600
2009-01-06,102499.0,99350,101100,100090,85100,100090
2009-01-07,99800.0,93200,99800,96490,148200,96490
2009-01-08,98700.0,93000,94700,98700,137700,98700
2009-01-09,98300.0,93400,98300,94750,100300,94750
2009-01-12,95812.0,93700,95100,94324,51900,94324
2009-01-13,96890.0,93500,93500,95300,72500,95300
2009-01-14,94600.0,93050,94410,93150,64700,93150
2009-01-15,93250.0,90000,93000,92900,122500,92900
2009-01-16,94200.0,90150,93600,90660,63400,90660
2009-01-20,90675.0,85150,90399,86250,163300,86250
2009-01-21,89800.0,85500,89600,88350,148200,88350
2009-01-22,89200.0,85650,86100,88800,87800,88800
2009-01-23,87500.0,85888,87000,86250,87300,86250
2009-01-26,87800.0,85000,85300,85001,74700,85001
2009-01-27,88000.0,85399,85499,86112,62700,86112
2009-01-28,90575.0,87400,87500,90300,107300,90300
2009-01-29,89750.0,87400,89000,87400,58300,87400
2009-01-30,90425.0,86760,88300,89502,63700,89502
2009-02-02,89480.0,86900,86901,89400,71500,89400
2009-02-03,90500.0,88700,89800,90500,56900,90500
2009-02-04,91300.0,89499,89899,90290,49100,90290
2009-02-05,90480.0,87010,89250,87020,97200,87020
2009-02-06,90240.0,87401,87401,89350,62900,89350
2009-02-09,90595.0,89500,89700,90000,55400,90000
2009-02-10,91200.0,86700,90200,88100,101100,88100
2009-02-11,90400.0,87200,87200,90400,91400,90400
2009-02-12,89550.0,87600,89260,89182,53900,89182
2009-02-13,89455.0,87525,89200,88140,52800,88140
2009-02-17,86900.0,83999,86900,84000,98400,84000
2009-02-18,83930.0,79100,83800,80000,195600,80000
2009-02-19,81000.0,77810,80750,78600,155700,78600
2009-02-20,78555.0,73677,77700,77000,550900,77000
2009-02-23,78600.0,73500,78100,75600,317000,75600
2009-02-24,80100.0,74300,75000,79900,301100,79900
2009-02-25,80885.0,76555,80700,79995,205100,79995
2009-02-26,81600.0,78350,81000,78350,118700,78350
2009-02-27,78600.0,75000,76655,78600,192300,78600
2009-03-02,75850.0,70100,74300,75750,241000,75750
2009-03-03,75500.0,72650,74950,75000,226700,75000
2009-03-04,76350.0,72560,74700,75025,216600,75025
2009-03-05,73370.0,70050,72050,72400,280500,72400
2009-03-06,73450.0,71201,71201,73195,182300,73195
2009-03-09,73750.0,70100,70100,73195,157800,73195
2009-03-10,84844.0,73210,73210,84844,309900,84844
2009-03-11,86500.0,82100,85000,83700,189400,83700
2009-03-12,85730.0,80110,84400,85700,164000,85700
2009-03-13,85700.0,81202,85700,83550,98400,83550
2009-03-16,84888.0,80539,84000,81690,99900,81690
2009-03-17,82450.0,79800,80300,82200,86600,82200
2009-03-18,84850.0,81700,83500,83350,145600,83350
