Date,High,Low,Open,Close,Volume,Adj Close
2019-06-26,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-06-27,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-06-28,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-01,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-02,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-03,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-05,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-08,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-09,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-10,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-11,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-12,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-15,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-16,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-17,93.25,93.25,93.25,93.25,0.0,92.32499694824219
2019-07-18,93.25,93.25,93.25,93.25,100.0,93.25
2019-07-19,93.25,93.25,93.25,93.25,0.0,93.25
2019-07-22,93.25,93.25,93.25,93.25,0.0,93.25
2019-07-23,93.25,93.25,93.25,93.25,0.0,93.25
2019-07-24,93.25,93.25,93.25,93.25,0.0,93.25
2019-07-25,93.25,93.25,93.25,93.25,0.0,93.25
2019-07-26,93.25,93.25,93.25,93.25,0.0,93.25
2019-07-29,93.25,93.25,93.25,93.25,100.0,93.25
2019-07-30,93.25,93.25,93.25,93.25,0.0,93.25
2019-08-01,93.25,93.25,93.25,93.25,0.0,93.25
2019-08-02,93.25,93.25,93.25,93.25,0.0,93.25
