date,open,high,low,close,volume
1998-01-02,70.19,70.5,70.13,70.31,255300.0
1998-01-05,70.56,70.81,69.94,70.5,922000.0
1998-01-06,68.75,68.88,67.69,68.25,928900.0
1998-01-07,68.25,68.25,66.19,66.94,858000.0
1998-01-08,66.94,67.19,65.0,65.75,787600.0
1998-01-09,65.69,65.75,64.38,64.5,955400.0
1998-01-12,63.5,64.25,63.31,64.25,473200.0
1998-01-13,64.25,65.5,64.25,64.88,573900.0
1998-01-14,65.44,66.0,65.38,65.94,360500.0
1998-01-15,65.75,66.25,64.88,65.38,489600.0
1998-01-16,65.88,66.06,65.63,65.88,375200.0
1998-01-20,66.25,66.81,65.81,66.81,476900.0
1998-01-21,66.56,67.06,64.06,64.63,623600.0
1998-01-22,64.25,64.88,63.75,64.88,566600.0
1998-01-23,64.88,65.19,63.13,63.63,451200.0
1998-01-26,63.81,64.69,63.56,63.56,379000.0
1998-01-27,63.38,65.63,63.31,65.31,591200.0
1998-01-28,65.25,66.56,64.56,65.38,623200.0
1998-01-29,65.44,66.06,65.25,65.44,1774500.0
1998-01-30,65.44,65.44,64.56,65.0,775300.0
1998-02-02,65.25,66.75,65.25,66.19,467100.0
1998-02-03,66.25,67.13,66.0,66.94,494100.0
1998-02-04,66.75,67.88,66.13,67.88,458300.0
1998-02-05,68.0,68.25,67.0,67.81,330600.0
1998-02-06,67.69,69.0,67.69,68.0,375700.0
1998-02-09,68.0,68.31,67.31,68.06,317000.0
1998-02-10,68.31,68.75,67.0,67.13,743600.0
1998-02-11,67.19,67.81,66.88,67.69,572600.0
1998-02-12,67.13,68.19,66.5,68.06,319800.0
1998-02-13,67.56,67.56,66.5,66.81,308400.0
1998-02-17,67.06,68.0,66.94,67.63,459300.0
1998-02-18,67.88,68.69,67.63,67.94,444900.0
1998-02-19,68.25,68.5,67.81,68.06,387000.0
1998-02-20,69.0,69.0,68.13,68.81,811300.0
1998-02-23,68.63,69.19,68.31,68.56,419400.0
1998-02-24,68.38,68.56,67.5,68.19,601500.0
1998-02-25,68.44,69.56,68.38,69.13,433900.0
1998-02-26,69.13,69.75,68.75,69.69,438500.0
1998-02-27,69.69,70.38,69.5,70.06,602200.0
1998-03-02,70.06,70.19,69.56,69.94,318200.0
1998-03-03,69.63,70.13,69.5,70.13,265600.0
1998-03-04,70.31,70.31,69.25,69.25,474300.0
1998-03-05,69.0,69.19,68.5,68.75,307200.0
1998-03-06,69.0,70.69,69.0,70.69,417500.0
1998-03-09,35.31,35.31,34.5,34.75,296450.0
1998-03-10,35.25,35.38,34.81,35.13,510200.0
1998-03-11,35.13,35.81,35.0,35.75,556800.0
1998-03-12,35.69,35.81,35.31,35.38,550700.0
1998-03-13,35.63,36.19,35.0,36.13,1844500.0
1998-03-16,36.06,36.94,36.06,36.88,1355800.0
1998-03-17,37.13,37.5,36.88,37.44,1489000.0
1998-03-18,37.5,37.88,37.44,37.63,729000.0
1998-03-19,37.63,38.69,37.56,38.44,1538700.0
1998-03-20,39.25,39.25,38.5,38.56,1447300.0
1998-03-23,38.31,38.31,37.75,37.81,613500.0
1998-03-24,37.69,38.5,37.69,38.44,407500.0
1998-03-25,38.88,38.88,37.0,37.75,599700.0
1998-03-26,37.19,37.88,37.0,37.81,567600.0
1998-03-27,38.63,38.63,37.5,37.94,759100.0
1998-03-30,37.88,38.25,37.38,37.44,837100.0
1998-03-31,37.75,39.0,37.31,37.81,1205200.0
1998-04-01,37.75,37.75,36.63,37.56,1048500.0
1998-04-02,37.56,38.63,37.5,38.44,907300.0
1998-04-03,38.81,38.88,38.25,38.5,735100.0
1998-04-06,39.0,39.44,38.31,38.5,698500.0
1998-04-07,38.5,39.06,38.0,38.44,817500.0
1998-04-08,38.5,39.0,38.25,38.38,698800.0
1998-04-09,38.75,39.19,37.75,39.13,649900.0
1998-04-13,39.06,40.56,39.06,40.38,1679900.0
1998-04-14,40.75,44.88,40.69,43.13,3679300.0
1998-04-15,43.0,43.0,41.56,42.38,1568100.0
1998-04-16,41.94,41.94,40.88,41.38,1166600.0
1998-04-17,41.31,41.56,40.81,41.5,1450000.0
1998-04-20,42.0,42.0,40.63,41.25,695700.0
1998-04-21,41.13,41.13,40.31,40.63,677400.0
1998-04-22,41.25,42.25,41.25,41.75,1170300.0
1998-04-23,41.13,41.56,40.38,40.63,767900.0
1998-04-24,40.56,40.88,39.56,40.19,617500.0
1998-04-27,39.38,39.38,37.75,38.75,808200.0
1998-04-28,40.0,40.0,38.63,38.88,572300.0
1998-04-29,39.06,39.38,38.75,39.06,682100.0
1998-04-30,39.94,40.38,39.56,39.75,887400.0
1998-05-01,40.19,40.5,39.81,40.38,878800.0
1998-05-04,40.38,40.5,39.38,39.56,546100.0
1998-05-05,39.31,39.31,38.13,38.5,734200.0
1998-05-06,38.25,38.56,37.5,38.13,1429500.0
1998-05-07,37.88,38.06,37.44,37.5,531800.0
1998-05-08,37.5,39.19,37.5,39.06,909900.0
1998-05-11,39.06,39.5,38.81,38.88,816300.0
1998-05-12,38.5,39.31,38.13,39.31,869200.0
1998-05-13,39.06,39.44,38.19,39.0,561600.0
1998-05-14,38.63,39.0,38.38,38.56,582100.0
1998-05-15,38.5,39.0,38.13,38.56,584800.0
1998-05-18,38.69,39.0,38.5,38.63,310400.0
1998-05-19,38.88,39.19,38.38,38.56,499000.0
1998-05-20,38.94,39.0,38.5,38.75,873400.0
1998-05-21,39.06,39.81,38.38,39.56,511700.0
1998-05-22,39.56,39.88,39.44,39.56,433700.0
1998-05-26,39.81,39.94,38.44,38.56,361500.0
1998-05-27,38.25,38.25,36.31,37.38,941000.0
1998-05-28,37.38,38.25,37.38,38.19,450300.0
1998-05-29,38.19,38.38,37.88,37.94,500500.0
1998-06-01,37.88,38.19,37.31,37.88,521100.0
1998-06-02,38.5,38.56,37.81,37.88,565400.0
1998-06-03,37.75,37.81,36.63,36.75,352700.0
1998-06-04,36.56,37.75,35.69,37.44,1229700.0
1998-06-05,37.69,37.75,37.0,37.69,822100.0
1998-06-08,37.94,39.0,37.75,38.13,1051300.0
1998-06-09,37.88,38.13,37.0,37.38,943300.0
1998-06-10,37.31,37.38,36.56,36.62,1517100.0
1998-06-11,36.81,36.94,36.0,36.31,1137200.0
1998-06-12,36.5,37.13,36.25,36.88,753600.0
1998-06-15,36.0,36.56,35.63,35.75,1230800.0
1998-06-16,35.75,35.94,34.44,35.38,1733700.0
1998-06-17,35.63,36.31,35.63,36.13,1454500.0
1998-06-18,36.19,36.44,35.63,35.63,561500.0
1998-06-19,35.06,35.31,34.81,35.06,1232200.0
1998-06-22,35.13,35.69,34.81,35.06,950300.0
1998-06-23,35.38,36.0,35.0,35.25,984800.0
1998-06-24,35.5,36.44,35.38,36.44,893600.0
1998-06-25,36.88,36.88,36.06,36.19,598600.0
1998-06-26,35.5,36.0,35.44,35.63,619100.0
1998-06-29,35.75,36.38,35.75,36.38,666900.0
1998-06-30,36.56,36.63,35.38,35.63,738100.0
1998-07-01,35.38,36.13,35.38,36.13,1228700.0
1998-07-02,35.5,36.56,35.5,36.5,1016500.0
1998-07-06,36.56,36.69,36.0,36.56,1220200.0
1998-07-07,36.44,36.75,36.38,36.5,809100.0
1998-07-08,36.5,36.88,36.19,36.81,1423800.0
1998-07-09,36.88,37.0,36.5,36.88,776600.0
1998-07-10,36.31,36.69,36.0,36.5,610500.0
1998-07-13,36.31,36.5,35.88,36.13,587400.0
1998-07-14,36.0,36.63,36.0,36.56,1067700.0
1998-07-15,36.5,36.56,35.88,36.31,978400.0
1998-07-16,36.44,38.06,36.19,38.0,1619100.0
1998-07-17,38.06,39.5,37.56,38.63,2874300.0
1998-07-20,38.5,38.56,37.19,37.63,1083200.0
1998-07-21,37.25,37.75,36.5,36.81,1235500.0
1998-07-22,36.94,37.31,36.44,36.63,1058600.0
1998-07-23,36.63,36.88,35.81,35.81,680000.0
1998-07-24,36.06,36.25,35.0,35.81,830200.0
1998-07-27,35.0,35.44,34.25,34.94,1236500.0
1998-07-28,34.25,34.56,33.31,34.38,1331000.0
1998-07-29,34.13,35.19,34.13,34.81,1169800.0
1998-07-30,35.0,35.44,34.25,34.5,1085800.0
1998-07-31,34.5,34.94,33.38,34.0,1116500.0
1998-08-03,33.94,34.38,33.56,34.06,1149900.0
1998-08-04,34.31,34.31,31.75,31.75,1315900.0
1998-08-05,32.25,33.44,31.75,33.0,1383800.0
1998-08-06,32.75,33.63,32.63,33.31,928100.0
1998-08-07,33.38,33.56,32.63,33.0,782600.0
1998-08-10,32.75,32.75,31.69,32.13,751700.0
1998-08-11,30.88,31.75,29.81,31.44,1338800.0
1998-08-12,30.88,32.25,29.81,32.06,1043900.0
1998-08-13,32.25,32.63,31.69,31.88,640100.0
1998-08-14,32.13,32.44,30.38,30.81,886200.0
1998-08-17,30.5,31.31,30.0,31.31,730100.0
1998-08-18,31.31,32.19,31.31,32.06,723400.0
1998-08-19,32.38,32.56,31.19,31.5,907500.0
1998-08-20,31.0,31.06,30.69,30.88,705600.0
1998-08-21,30.25,30.31,28.94,29.69,1367800.0
1998-08-24,30.25,30.63,29.81,30.13,799400.0
1998-08-25,30.63,31.0,30.06,30.19,1092200.0
1998-08-26,29.69,30.31,29.38,30.0,1018500.0
1998-08-27,29.5,29.69,28.25,28.5,1433200.0
1998-08-28,28.5,29.63,27.88,27.88,1437700.0
1998-08-31,28.13,28.44,25.5,25.5,1185800.0
1998-09-01,25.63,28.75,24.75,28.44,1823900.0
1998-09-02,28.44,29.69,28.06,28.44,1589900.0
1998-09-03,27.75,28.13,27.13,27.31,887600.0
1998-09-04,27.69,28.19,26.25,27.19,871900.0
1998-09-08,28.75,29.63,28.13,29.5,913000.0
1998-09-09,29.56,29.75,29.0,29.06,1451200.0
1998-09-10,27.5,28.0,27.0,28.0,1485100.0
1998-09-11,27.0,29.81,26.94,29.81,1459000.0
1998-09-14,30.38,30.88,30.13,30.38,1346800.0
1998-09-15,30.25,31.69,30.13,31.63,1538300.0
1998-09-16,32.25,32.56,31.56,32.0,2278300.0
1998-09-17,30.75,31.56,30.63,31.13,684700.0
1998-09-18,31.13,31.5,31.13,31.25,1219500.0
1998-09-21,30.5,31.19,30.25,31.0,537500.0
1998-09-22,31.25,31.81,31.13,31.31,675400.0
1998-09-23,31.44,32.56,31.31,32.56,910300.0
1998-09-24,32.5,32.94,31.5,32.56,1208500.0
1998-09-25,31.5,32.44,31.5,31.94,1302700.0
1998-09-28,31.88,32.88,30.13,30.56,1399400.0
1998-09-29,30.81,31.0,29.88,30.63,1045500.0
1998-09-30,30.25,30.5,28.63,28.88,859900.0
1998-10-01,28.63,28.81,27.56,27.56,1258700.0
1998-10-02,28.5,29.5,27.19,29.44,948900.0
1998-10-05,28.75,28.81,26.69,28.5,1305500.0
1998-10-06,29.0,29.25,26.88,27.06,983900.0
1998-10-07,27.0,27.25,25.0,26.06,1286000.0
1998-10-08,25.5,25.5,23.38,24.94,1637100.0
1998-10-09,25.25,26.56,25.06,26.44,1200800.0
1998-10-12,27.13,27.63,26.56,26.56,906400.0
1998-10-13,26.56,26.88,26.0,26.31,1208700.0
1998-10-14,26.56,27.31,26.0,26.56,862200.0
1998-10-15,26.56,28.88,26.19,28.19,1727000.0
1998-10-16,29.38,31.63,28.69,31.13,3226200.0
1998-10-19,31.13,31.44,30.06,30.5,949100.0
1998-10-20,30.69,32.0,30.69,31.81,1695400.0
1998-10-21,31.81,31.88,31.25,31.31,1268500.0
1998-10-22,31.25,31.25,29.88,31.0,914900.0
1998-10-23,31.13,31.13,29.56,29.56,540100.0
1998-10-26,29.88,30.25,29.5,29.5,558000.0
1998-10-27,29.81,29.94,27.81,28.19,1322800.0
1998-10-28,28.19,28.81,27.5,28.63,954600.0
1998-10-29,28.81,29.44,28.44,29.19,568800.0
1998-10-30,29.56,30.31,29.5,30.31,933000.0
1998-11-02,31.5,31.75,30.75,30.94,1143400.0
1998-11-03,31.38,31.69,30.88,31.5,936400.0
1998-11-04,32.0,32.25,31.44,31.75,980200.0
1998-11-05,31.5,32.31,31.19,32.31,637100.0
1998-11-06,32.06,33.56,31.81,32.06,720600.0
1998-11-09,31.81,31.88,30.63,31.44,657200.0
1998-11-10,31.0,31.44,30.75,31.06,459900.0
1998-11-11,31.25,31.38,29.81,30.13,825600.0
1998-11-12,30.06,30.44,29.69,29.94,578200.0
1998-11-13,30.0,31.13,29.81,30.5,523900.0
1998-11-16,30.75,31.44,30.56,31.25,571600.0
1998-11-17,31.06,32.13,30.44,31.5,752100.0
1998-11-18,31.38,31.81,30.94,31.44,837700.0
1998-11-19,31.69,32.25,31.38,31.75,643300.0
1998-11-20,32.5,32.5,31.56,31.94,710600.0
1998-11-23,32.13,34.06,32.13,33.38,1279500.0
1998-11-24,33.25,33.75,32.88,33.13,1725000.0
1998-11-25,33.19,33.5,32.5,32.62,701300.0
1998-11-27,32.5,32.5,31.88,32.19,200600.0
1998-11-30,31.5,31.81,30.5,30.69,1055200.0
1998-12-01,30.44,31.69,30.0,31.31,798000.0
1998-12-02,31.13,31.88,31.13,31.81,630200.0
1998-12-03,31.63,31.94,30.75,30.75,684600.0
1998-12-04,31.5,32.38,31.25,32.31,973600.0
1998-12-07,32.13,32.44,31.88,32.25,763700.0
1998-12-08,32.19,32.38,31.56,31.56,1325500.0
1998-12-09,31.56,32.0,31.25,31.81,661800.0
1998-12-10,32.0,32.0,31.13,31.63,897400.0
1998-12-11,31.5,31.56,30.38,31.06,1028300.0
1998-12-14,30.5,31.0,30.25,30.81,908000.0
1998-12-15,30.81,31.5,30.63,31.5,1031100.0
1998-12-16,31.63,31.63,31.0,31.25,574000.0
1998-12-17,31.5,32.19,31.38,32.13,1092300.0
1998-12-18,31.94,32.31,31.81,31.94,1600900.0
1998-12-21,31.19,31.94,31.19,31.94,659800.0
1998-12-22,31.69,31.88,31.19,31.5,654600.0
1998-12-23,31.94,32.44,31.31,32.44,945700.0
1998-12-24,32.44,32.5,32.19,32.19,311500.0
1998-12-28,32.06,32.25,31.38,31.63,458600.0
1998-12-29,31.5,32.13,31.06,32.0,634900.0
1998-12-30,31.69,32.0,31.38,31.81,520000.0
1998-12-31,31.63,32.13,31.5,32.0,547400.0
1999-01-04,31.75,32.38,31.31,31.75,835100.0
1999-01-05,31.63,32.19,31.56,32.13,778200.0
1999-01-06,32.06,33.31,32.06,33.31,1983600.0
1999-01-07,33.0,33.44,32.25,33.38,1460200.0
1999-01-08,33.81,33.81,32.88,33.5,958200.0
1999-01-11,33.38,33.38,32.44,32.81,669700.0
1999-01-12,32.13,32.25,31.19,31.56,905500.0
1999-01-13,29.81,31.69,29.81,31.38,1280200.0
1999-01-14,30.94,31.13,30.06,30.13,993600.0
1999-01-15,30.38,31.31,30.31,31.25,1301700.0
1999-01-19,31.0,31.13,30.13,30.63,736500.0
1999-01-20,30.75,32.0,30.75,31.13,1139200.0
1999-01-21,31.38,31.5,30.5,31.31,1083000.0
1999-01-22,31.31,31.75,30.88,31.06,1023000.0
1999-01-25,31.0,31.44,30.63,30.81,604900.0
1999-01-26,30.94,31.38,30.75,31.38,910300.0
1999-01-27,31.19,31.19,30.06,30.13,1134100.0
1999-01-28,30.25,31.25,30.19,30.88,1304500.0
1999-01-29,31.44,31.88,30.5,31.88,1285700.0
1999-02-01,31.88,31.88,30.81,30.94,990100.0
1999-02-02,30.69,31.0,30.25,30.38,1432100.0
1999-02-03,30.13,30.63,30.06,30.38,1117700.0
1999-02-04,30.19,30.56,29.81,30.0,1051900.0
1999-02-05,30.0,30.5,29.94,30.38,1161500.0
1999-02-08,30.25,30.63,30.19,30.44,976900.0
1999-02-09,30.31,30.81,29.81,30.06,728600.0
1999-02-10,30.0,30.5,29.81,30.38,437600.0
1999-02-11,30.13,31.0,30.06,30.81,634100.0
1999-02-12,30.88,30.88,29.94,30.81,524400.0
1999-02-16,30.94,31.19,30.19,30.56,821000.0
1999-02-17,30.25,31.13,30.13,30.5,946500.0
1999-02-18,30.56,31.44,30.38,31.31,907300.0
1999-02-19,31.38,31.94,31.31,31.69,953800.0
1999-02-22,31.56,32.69,31.56,32.38,1232100.0
1999-02-23,32.25,32.63,32.0,32.31,1004600.0
1999-02-24,32.31,32.75,32.0,32.06,952800.0
1999-02-25,32.0,32.13,31.63,32.0,889900.0
1999-02-26,32.25,32.38,31.69,32.25,669200.0
1999-03-01,32.0,32.38,31.88,32.06,906100.0
1999-03-02,32.19,32.19,31.31,31.44,1247900.0
1999-03-03,31.63,32.13,31.63,31.69,798300.0
1999-03-04,31.75,32.31,31.69,32.19,590100.0
1999-03-05,32.44,32.88,31.5,32.63,751300.0
1999-03-08,32.69,32.88,32.19,32.38,716500.0
1999-03-09,32.38,33.25,32.25,32.81,1004300.0
1999-03-10,33.0,33.44,32.56,33.44,1111900.0
1999-03-11,33.5,33.63,33.0,33.56,765900.0
1999-03-12,33.81,33.81,32.75,32.88,1028900.0
1999-03-15,33.88,34.0,32.75,33.5,1098600.0
1999-03-16,33.56,34.19,33.13,33.19,953000.0
1999-03-17,32.94,33.13,32.25,32.38,783300.0
1999-03-18,32.44,32.88,32.06,32.81,1360600.0
1999-03-19,32.88,32.88,32.0,32.0,1292000.0
1999-03-22,32.0,32.5,31.88,31.88,801600.0
1999-03-23,31.94,31.94,30.75,31.0,536900.0
1999-03-24,30.88,31.25,30.44,31.06,876400.0
1999-03-25,31.13,31.31,30.75,31.0,894300.0
1999-03-26,30.81,30.81,30.13,30.56,730200.0
1999-03-29,30.56,31.25,30.56,30.75,478100.0
1999-03-30,30.75,30.75,29.94,30.13,636200.0
1999-03-31,30.38,30.75,29.69,30.31,875700.0
