date,open,high,low,close,volume
1998-01-02,57.0,57.63,57.0,57.5,135600.0
1998-01-05,57.88,58.25,57.75,57.94,286800.0
1998-01-06,57.88,58.0,57.38,57.69,160300.0
1998-01-07,57.75,58.19,57.44,57.63,227300.0
1998-01-08,57.63,57.63,56.81,56.88,219100.0
1998-01-09,56.63,56.63,54.0,54.25,247300.0
1998-01-12,53.0,54.25,53.0,54.25,367700.0
1998-01-13,54.5,54.5,52.75,53.31,317400.0
1998-01-14,53.69,54.5,53.63,54.44,288500.0
1998-01-15,55.0,56.13,54.63,55.19,386500.0
1998-01-16,55.63,56.25,55.31,56.13,174500.0
1998-01-20,56.63,57.44,56.31,57.38,197400.0
1998-01-21,57.13,57.75,56.81,57.0,228200.0
1998-01-22,56.63,56.81,56.25,56.56,225300.0
1998-01-23,56.38,56.63,54.38,54.38,647700.0
1998-01-26,54.5,56.19,54.44,56.0,971400.0
1998-01-27,56.38,57.75,56.25,57.06,208600.0
1998-01-28,56.88,57.44,56.25,56.63,298500.0
1998-01-29,56.63,57.0,56.38,56.75,942100.0
1998-01-30,56.81,57.63,56.75,57.38,397300.0
1998-02-02,57.5,59.13,57.5,59.13,271600.0
1998-02-03,58.88,59.13,58.5,59.06,179500.0
1998-02-04,58.94,59.88,58.81,59.63,639800.0
1998-02-05,59.56,60.88,59.56,59.88,442100.0
1998-02-06,60.0,61.5,60.0,61.5,236400.0
1998-02-09,61.63,61.75,59.75,60.56,472000.0
1998-02-10,60.56,60.94,60.0,60.19,376600.0
1998-02-11,60.63,61.0,60.38,60.81,257100.0
1998-02-12,60.69,61.44,59.63,61.38,236800.0
1998-02-13,60.88,61.0,60.31,60.44,304400.0
1998-02-17,60.69,61.19,60.63,61.0,154600.0
1998-02-18,61.0,61.94,60.88,61.88,189000.0
1998-02-19,61.63,61.75,61.13,61.19,166300.0
1998-02-20,61.75,62.0,61.06,62.0,355100.0
1998-02-23,63.25,63.25,62.63,62.75,511000.0
1998-02-24,63.0,63.75,62.75,63.56,487900.0
1998-02-25,63.75,64.38,62.88,63.13,384900.0
1998-02-26,63.63,65.63,63.63,65.63,276700.0
1998-02-27,65.38,65.38,64.5,64.81,246700.0
1998-03-02,64.63,65.0,63.94,64.44,198900.0
1998-03-03,64.25,65.0,64.19,64.94,167700.0
1998-03-04,64.94,65.25,64.75,65.19,180600.0
1998-03-05,65.06,66.0,65.0,65.25,205800.0
1998-03-06,65.06,65.75,65.06,65.5,281000.0
1998-03-09,64.75,65.63,64.75,65.25,308400.0
1998-03-10,64.13,65.5,64.13,65.44,402300.0
1998-03-11,64.25,65.94,64.25,65.5,289000.0
1998-03-12,65.5,65.5,64.63,65.44,322800.0
1998-03-13,65.44,65.5,64.5,64.5,372900.0
1998-03-16,64.56,66.88,64.56,66.88,549700.0
1998-03-17,66.63,66.63,65.06,65.44,346900.0
1998-03-18,65.44,66.06,65.25,66.06,283000.0
1998-03-19,66.19,66.69,65.63,66.69,181100.0
1998-03-20,67.13,67.19,65.94,66.63,284700.0
1998-03-23,66.44,67.5,66.13,67.5,215200.0
1998-03-24,67.25,67.69,67.0,67.69,246600.0
1998-03-25,68.25,68.5,67.63,67.63,286800.0
1998-03-26,68.19,68.56,67.88,67.88,310400.0
1998-03-27,68.0,68.0,66.38,67.0,185000.0
1998-03-30,67.0,67.5,65.63,66.44,294200.0
1998-03-31,66.69,68.5,66.69,67.94,189100.0
1998-04-01,67.94,68.75,67.5,68.75,186600.0
1998-04-02,68.75,69.5,68.75,69.13,230000.0
1998-04-03,69.38,69.63,68.5,68.81,176400.0
1998-04-06,68.81,68.81,67.88,67.88,154000.0
1998-04-07,67.63,68.69,67.38,68.5,191100.0
1998-04-08,68.25,68.44,67.81,68.31,211900.0
1998-04-09,68.31,69.25,68.25,69.25,158000.0
1998-04-13,69.06,69.31,68.0,68.5,297900.0
1998-04-14,68.5,70.5,68.31,70.25,378100.0
1998-04-15,70.13,70.75,69.63,70.5,465500.0
1998-04-16,70.38,71.75,70.13,70.63,566600.0
1998-04-17,71.0,73.25,70.5,73.0,367700.0
1998-04-20,72.75,73.5,72.25,73.19,374600.0
1998-04-21,73.0,73.25,72.69,73.25,585800.0
1998-04-22,73.0,73.5,72.75,73.44,233800.0
1998-04-23,73.19,73.5,71.5,71.69,554500.0
1998-04-24,71.69,71.75,70.0,70.44,421100.0
1998-04-27,70.0,70.19,69.63,70.19,359900.0
1998-04-28,70.25,70.69,70.0,70.63,296100.0
1998-04-29,70.63,70.69,70.13,70.44,252800.0
1998-04-30,70.5,71.13,70.5,70.69,408300.0
1998-05-01,70.69,71.31,70.25,71.31,108800.0
1998-05-04,71.31,72.13,71.25,71.69,293600.0
1998-05-05,72.25,72.63,71.44,71.88,231300.0
1998-05-06,71.75,71.88,70.25,70.38,143600.0
1998-05-07,70.0,71.0,69.94,70.13,187000.0
1998-05-08,70.38,72.13,70.06,71.56,300900.0
1998-05-11,72.0,72.38,71.63,72.25,247000.0
1998-05-12,74.88,76.25,74.75,75.25,1305400.0
1998-05-13,74.0,76.31,73.88,76.31,803100.0
1998-05-14,76.13,76.63,75.38,76.0,615800.0
1998-05-15,76.0,76.56,75.56,75.81,677000.0
1998-05-18,74.88,75.63,74.88,75.56,294500.0
1998-05-19,75.31,76.38,75.25,76.13,534900.0
1998-05-20,75.44,75.44,75.44,75.44,290600.0
1998-05-21,75.81,75.81,74.63,75.44,171300.0
1998-05-22,75.31,75.63,75.13,75.25,153400.0
1998-05-26,75.25,75.25,73.56,73.56,207800.0
1998-05-27,73.31,73.63,72.0,72.44,372800.0
1998-05-28,72.63,73.56,72.44,73.5,274100.0
1998-05-29,74.13,74.31,72.88,72.88,354700.0
1998-06-01,72.63,74.13,72.5,73.25,282800.0
1998-06-02,74.25,74.63,73.63,74.13,237800.0
1998-06-03,75.0,75.0,73.38,73.88,525200.0
1998-06-04,73.88,73.88,72.75,73.19,309500.0
1998-06-05,73.75,75.0,73.38,75.0,501100.0
1998-06-08,75.0,75.19,74.63,74.88,190100.0
1998-06-09,74.75,75.63,74.75,75.0,318100.0
1998-06-10,73.75,74.12,71.88,71.94,626100.0
1998-06-11,71.38,72.56,71.38,71.75,607700.0
1998-06-12,71.5,72.0,69.0,70.31,546600.0
1998-06-15,69.88,69.88,68.25,69.13,313800.0
1998-06-16,69.38,70.06,69.0,69.75,430300.0
1998-06-17,69.94,71.13,69.38,69.56,464800.0
1998-06-18,69.5,69.88,69.0,69.25,264600.0
1998-06-19,69.25,69.31,64.63,65.5,1394000.0
1998-06-22,64.75,65.81,63.63,63.63,813300.0
1998-06-23,64.75,65.81,64.69,65.81,492900.0
1998-06-24,65.81,66.5,65.75,66.38,264000.0
1998-06-25,66.5,67.0,65.88,65.94,243200.0
1998-06-26,65.88,67.88,65.88,66.75,321400.0
1998-06-29,67.0,68.5,66.81,67.0,340200.0
1998-06-30,67.38,69.69,67.0,69.56,496800.0
1998-07-01,69.63,70.38,69.56,70.0,401200.0
1998-07-02,69.75,70.0,69.63,70.0,270400.0
1998-07-06,70.13,70.5,70.0,70.5,402500.0
1998-07-07,70.63,70.63,70.0,70.06,190500.0
1998-07-08,70.0,70.19,70.0,70.13,187500.0
1998-07-09,69.94,70.0,67.88,67.94,1382500.0
1998-07-10,67.63,68.5,67.25,68.19,353300.0
1998-07-13,68.19,68.19,68.0,68.0,213100.0
1998-07-14,68.25,69.94,68.25,69.69,348400.0
1998-07-15,69.63,71.0,69.63,70.0,621500.0
1998-07-16,69.88,70.38,68.75,68.75,456000.0
1998-07-17,68.25,68.44,66.88,67.0,401000.0
1998-07-20,67.0,67.88,66.75,67.5,232300.0
1998-07-21,67.38,67.63,67.13,67.38,242000.0
1998-07-22,67.13,67.38,66.5,66.75,332500.0
1998-07-23,66.5,66.63,64.88,65.31,379400.0
1998-07-24,65.44,66.25,65.0,65.5,418000.0
1998-07-27,65.25,65.25,63.5,64.75,337700.0
1998-07-28,64.5,64.94,62.5,64.94,300700.0
1998-07-29,65.25,65.75,62.06,64.19,521600.0
1998-07-30,64.5,66.19,64.5,65.75,230700.0
1998-07-31,66.0,66.38,62.19,63.38,281400.0
1998-08-03,63.38,63.75,62.5,63.0,223700.0
1998-08-04,63.13,64.0,61.88,61.94,657800.0
1998-08-05,61.75,62.13,59.56,60.69,379200.0
1998-08-06,60.5,61.56,60.5,61.13,170600.0
1998-08-07,61.5,62.88,60.13,61.75,303400.0
1998-08-10,61.75,62.0,60.69,60.81,280700.0
1998-08-11,60.31,60.56,58.13,59.31,365200.0
1998-08-12,60.31,60.56,58.13,60.19,254800.0
1998-08-13,60.19,62.0,58.75,59.06,303900.0
1998-08-14,58.81,59.0,54.5,56.5,866400.0
1998-08-17,56.75,59.0,56.75,58.75,316700.0
1998-08-18,58.94,59.56,58.69,59.56,261600.0
1998-08-19,59.44,60.25,58.63,59.81,344000.0
1998-08-20,59.81,59.81,58.38,59.38,394000.0
1998-08-21,59.0,59.19,56.63,57.25,312700.0
1998-08-24,57.25,57.88,56.56,57.06,504900.0
1998-08-25,58.0,58.13,57.19,57.63,411800.0
1998-08-26,57.38,57.88,56.75,57.88,329300.0
1998-08-27,57.75,57.94,55.0,55.19,297000.0
1998-08-28,55.31,56.06,53.38,53.69,381000.0
1998-08-31,53.94,54.25,50.81,51.0,311400.0
1998-09-01,50.81,52.5,49.13,52.06,547700.0
1998-09-02,52.13,53.19,51.56,51.56,320600.0
1998-09-03,51.44,53.13,50.75,52.94,417400.0
1998-09-04,53.0,54.44,51.63,52.69,424900.0
1998-09-08,53.0,54.69,52.63,54.63,309400.0
1998-09-09,54.63,54.75,53.06,53.88,224900.0
1998-09-10,53.0,53.31,49.44,50.5,406800.0
1998-09-11,50.25,52.5,49.75,52.5,419400.0
1998-09-14,53.5,54.63,53.5,53.94,282300.0
1998-09-15,53.94,55.5,53.75,55.38,278100.0
1998-09-16,55.63,56.75,53.38,54.44,438200.0
1998-09-17,53.94,53.94,52.06,52.88,213200.0
1998-09-18,52.88,53.13,51.75,52.13,632900.0
1998-09-21,51.75,52.13,51.56,52.06,168700.0
