종목단축코드,기업명,신규상장일,최초상장주식수(주),액면가,통화구분,공모가(원),업종,주간사
186230,주식회사 그린플러스,"2019/08/07","3,923,873","500","원(KRW)","10,000",1차 비철금속 제조업,한국투자증권㈜
282880,주식회사 코윈테크,"2019/08/05","9,000,000","500","원(KRW)","34,500",특수 목적용 기계 제조업,미래에셋대우(주)
327970,케어룸의료산업 주식회사,"2019/08/05","1,000,000","500","원(KRW)",,의료용 기기 제조업,IBK투자증권
317330,(주)덕산테코피아,"2019/08/02","18,377,428","500","원(KRW)","19,000",기타 화학제품 제조업,엔에이치투자증권주식회사
317770,주식회사 슈프리마아이디,"2019/08/01","2,992,520","500","원(KRW)","27,000",전자부품 제조업,한국투자증권㈜
318000,한국바이오젠 주식회사,"2019/08/01","7,288,035","200","원(KRW)","6,000",합성고무 및 플라스틱 물질 제조업,미래에셋대우(주)
148150,(주)세경하이테크,"2019/07/30","5,624,000","500","원(KRW)","35,000",전자부품 제조업,키움증권㈜
313760,(주)윌링스,"2019/07/25","4,862,000","500","원(KRW)","12,500","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",신영증권㈜
317850,대모엔지니어링주식회사,"2019/07/24","8,324,420","500","원(KRW)","5,200",특수 목적용 기계 제조업,신한금융투자㈜
241840,(주)에이스토리,"2019/07/19","9,318,240","500","원(KRW)","14,300","영화, 비디오물, 방송프로그램 제작 및 배급업",엔에이치투자증권주식회사
300080,(주)플리토,"2019/07/17","5,169,811","500","원(KRW)","26,000","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",한국투자증권㈜
323210,이베스트이안기업인수목적1호 주식회사,"2019/07/15","3,200,000","100","원(KRW)","2,000",금융 지원 서비스업,이베스트투자증권㈜
234340,세틀뱅크(주),"2019/07/12","9,267,000","500","원(KRW)","55,000",기타 정보 서비스업,"신한금융투자㈜,한국투자증권㈜"
329050,주식회사 구스앤홈,"2019/07/12","1,200,000","500","원(KRW)",,직물직조 및 직물제품 제조업,IBK투자증권
289010,(주)아이스크림에듀,"2019/07/11","12,637,371","500","원(KRW)","15,900","서적, 잡지 및 기타 인쇄물 출판업",대신증권㈜
327610,주식회사 펨토바이오메드,"2019/07/10","5,453,715","500","원(KRW)",,자연과학 및 공학 연구개발업,한국투자증권
251970,펌텍코리아 주식회사,"2019/07/04","1,882,710","500","원(KRW)","190,000",플라스틱제품 제조업,한국투자증권㈜
312610,에이에프더블류(주),"2019/07/01","10,128,444","500","원(KRW)","22,500",일차전지 및 축전지 제조업,엔에이치투자증권주식회사
309900,주식회사 티티씨디펜스,"2019/06/27","10,000,000","500","원(KRW)",,"그외 기타 전문, 과학 및 기술 서비스업",IBK투자증권
323280,신영해피투모로우제5호기업인수목적 주식회사,"2019/06/24","3,505,000","100","원(KRW)","2,000",금융 지원 서비스업,신영증권㈜
323940,케이비제18호기업인수목적 주식회사,"2019/06/24","7,822,000","100","원(KRW)","2,000",금융 지원 서비스업,KB증권㈜
323230,신한제5호기업인수목적 주식회사,"2019/06/19","4,310,000","100","원(KRW)","2,000",금융 지원 서비스업,신한금융투자㈜
293780,압타바이오(주),"2019/06/12","10,881,733","500","원(KRW)","30,000",자연과학 및 공학 연구개발업,"미래에셋대우(주),삼성증권㈜"
308100,(주)까스텔바쟉,"2019/06/10","6,596,700","500","원(KRW)","12,000","섬유, 의복, 신발 및 가죽제품 소매업",엔에이치투자증권주식회사
305090,(주)마이크로디지탈,"2019/06/05","3,630,800","500","원(KRW)","23,000",의료용 기기 제조업,하나금융투자㈜
278380,주식회사 원바이오젠,"2019/06/03","2,166,560","500","원(KRW)",,의료용품 및 기타 의약 관련제품 제조업,교보증권
322780,디비금융제7호기업인수목적 주식회사,"2019/05/31","4,550,000","100","원(KRW)","2,000",금융 지원 서비스업,DB금융투자주식회사
321260,유진기업인수목적4호 주식회사,"2019/05/31","3,490,000","100","원(KRW)","2,000",금융 지원 서비스업,유진투자증권㈜
003670,(주)포스코케미칼,"2019/05/29","60,988,220","500","원(KRW)",,"내화, 비내화 요업제품 제조업",한국투자증권㈜
253840,(주)수젠텍,"2019/05/28","12,926,006","500","원(KRW)","12,000",의료용품 및 기타 의약 관련제품 제조업,한국투자증권㈜
307930,컴퍼니케이파트너스(주),"2019/05/23","15,610,000","500","원(KRW)","4,500",기타 금융업,엔에이치투자증권주식회사
323350,주식회사 다원넥스뷰,"2019/05/21","700,000","500","원(KRW)",,사진장비 및 광학기기 제조업,신한금융투자
319400,엔에이치기업인수목적14호 주식회사,"2019/05/08","8,620,000","100","원(KRW)","2,000",금융 지원 서비스업,엔에이치투자증권주식회사
950180,주식회사 에스앤케이,"2019/05/07","21,061,800","0","일본엔(JPY)","40,400",소프트웨어 개발 및 공급업,엔에이치투자증권주식회사
317320,한화에스비아이기업인수목적 주식회사,"2019/05/03","4,360,000","100","원(KRW)","2,000",금융 지원 서비스업,한화투자증권㈜
317240,하이제4호기업인수목적 주식회사,"2019/04/29","4,400,000","100","원(KRW)","2,000",금융 지원 서비스업,하이투자증권㈜
279060,(주)이노벡스,"2019/04/12","6,079,167","100","원(KRW)",,전자부품 제조업,IBK투자증권
125210,(주)아모그린텍,"2019/03/29","16,496,790","500","원(KRW)","9,900",전자부품 제조업,삼성증권㈜
307950,현대오토에버(주),"2019/03/28","21,000,000","500","원(KRW)","48,000",소프트웨어 개발 및 공급업,엔에이치투자증권주식회사
228760,(주)지노믹트리,"2019/03/27","19,986,215","500","원(KRW)","27,000",의료용품 및 기타 의약 관련제품 제조업,키움증권㈜
317030,케이비제17호기업인수목적 주식회사,"2019/03/27","5,461,000","100","원(KRW)","2,000",금융 지원 서비스업,KB증권㈜
099750,이지케어텍(주),"2019/03/22","6,386,000","500","원(KRW)","12,300",소프트웨어 개발 및 공급업,미래에셋대우(주)
